"Dia","Estació","Nivell absolut (msnm)","Percentatge volum embassat (%)","Volum embassat (hm3)"
"20/02/2026","Embassament de la Baells (Cercs)","629,39","98,0","106,53"
"20/02/2026","Embassament de Sau (Vilanova de Sau)","421,51","88,0","145,97"
"20/02/2026","Embassament de la Llosa del Cavall (Navès)","806,19","100,7","72,08"
"20/02/2026","Embassament de Siurana (Cornudella de Montsant)","475,54","49,7","5,97"
"20/02/2026","Embassament de Riudecanyes","219,27","98,6","5,24"
"20/02/2026","Embassament de Darnius Boadella (Darnius)","157,87","93,5","59,19"
"20/02/2026","Embassament de Susqueda (Osor)","349,09","95,3","213,02"
"20/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,11","95,0","23,18"
"20/02/2026","Embassament de Foix (Castellet i la Gornal)","99,56","83,2","2,80"
"19/02/2026","Embassament de Darnius Boadella (Darnius)","157,90","93,7","59,29"
"19/02/2026","Embassament de Sau (Vilanova de Sau)","421,56","88,2","146,26"
"19/02/2026","Embassament de la Baells (Cercs)","629,42","98,1","106,65"
"19/02/2026","Embassament de Foix (Castellet i la Gornal)","99,56","83,2","2,80"
"19/02/2026","Embassament de Siurana (Cornudella de Montsant)","475,49","49,5","5,95"
"19/02/2026","Embassament de Riudecanyes","219,30","98,7","5,25"
"19/02/2026","Embassament de la Llosa del Cavall (Navès)","806,20","100,8","72,11"
"19/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,23","96,0","23,42"
"19/02/2026","Embassament de Susqueda (Osor)","349,07","95,2","212,90"
"18/02/2026","Embassament de la Llosa del Cavall (Navès)","806,21","100,8","72,12"
"18/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,37","96,4","23,52"
"18/02/2026","Embassament de Susqueda (Osor)","349,08","95,3","212,98"
"18/02/2026","Embassament de la Baells (Cercs)","629,50","98,3","106,91"
"18/02/2026","Embassament de Foix (Castellet i la Gornal)","99,55","83,1","2,80"
"18/02/2026","Embassament de Darnius Boadella (Darnius)","157,92","93,8","59,37"
"18/02/2026","Embassament de Sau (Vilanova de Sau)","421,55","88,2","146,24"
"18/02/2026","Embassament de Riudecanyes","219,30","98,7","5,25"
"18/02/2026","Embassament de Siurana (Cornudella de Montsant)","475,43","49,3","5,93"
"17/02/2026","Embassament de Foix (Castellet i la Gornal)","99,55","83,0","2,80"
"17/02/2026","Embassament de Riudecanyes","219,28","98,6","5,25"
"17/02/2026","Embassament de Siurana (Cornudella de Montsant)","475,37","48,8","5,86"
"17/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,49","97,0","23,69"
"17/02/2026","Embassament de Susqueda (Osor)","349,10","95,3","213,10"
"17/02/2026","Embassament de Darnius Boadella (Darnius)","157,95","94,0","59,47"
"17/02/2026","Embassament de Sau (Vilanova de Sau)","421,56","88,4","146,58"
"17/02/2026","Embassament de la Llosa del Cavall (Navès)","806,21","100,8","72,15"
"17/02/2026","Embassament de la Baells (Cercs)","629,56","98,6","107,21"
"16/02/2026","Embassament de la Baells (Cercs)","629,61","98,7","107,33"
"16/02/2026","Embassament de Susqueda (Osor)","349,01","95,1","212,62"
"16/02/2026","Embassament de Sau (Vilanova de Sau)","421,64","88,5","146,75"
"16/02/2026","Embassament de Foix (Castellet i la Gornal)","99,54","82,9","2,79"
"16/02/2026","Embassament de Siurana (Cornudella de Montsant)","475,29","48,7","5,85"
"16/02/2026","Embassament de la Llosa del Cavall (Navès)","806,22","100,8","72,16"
"16/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,60","97,7","23,84"
"16/02/2026","Embassament de Riudecanyes","219,29","98,7","5,25"
"16/02/2026","Embassament de Darnius Boadella (Darnius)","157,97","94,1","59,55"
"15/02/2026","Embassament de Susqueda (Osor)","348,95","94,9","212,25"
"15/02/2026","Embassament de la Baells (Cercs)","629,65","98,9","107,47"
"15/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,58","97,5","23,81"
"15/02/2026","Embassament de la Llosa del Cavall (Navès)","806,24","100,9","72,20"
"15/02/2026","Embassament de Siurana (Cornudella de Montsant)","475,21","48,4","5,82"
"15/02/2026","Embassament de Darnius Boadella (Darnius)","157,99","94,2","59,63"
"15/02/2026","Embassament de Sau (Vilanova de Sau)","421,68","88,7","147,01"
"15/02/2026","Embassament de Foix (Castellet i la Gornal)","99,54","82,8","2,79"
"15/02/2026","Embassament de Riudecanyes","219,30","98,7","5,25"
"14/02/2026","Embassament de Riudecanyes","219,33","98,9","5,26"
"14/02/2026","Embassament de Darnius Boadella (Darnius)","158,01","94,3","59,71"
"14/02/2026","Embassament de Susqueda (Osor)","348,83","94,6","211,61"
"14/02/2026","Embassament de la Baells (Cercs)","629,65","98,8","107,45"
"14/02/2026","Embassament de Sau (Vilanova de Sau)","421,69","88,7","147,04"
"14/02/2026","Embassament de Siurana (Cornudella de Montsant)","475,12","48,1","5,78"
"14/02/2026","Embassament de la Llosa del Cavall (Navès)","806,25","100,9","72,24"
"14/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,45","96,8","23,63"
"14/02/2026","Embassament de Foix (Castellet i la Gornal)","99,52","82,5","2,78"
"13/02/2026","Embassament de Darnius Boadella (Darnius)","158,03","94,4","59,77"
"13/02/2026","Embassament de la Baells (Cercs)","629,59","98,6","107,24"
"13/02/2026","Embassament de Sau (Vilanova de Sau)","421,60","88,4","146,57"
"13/02/2026","Embassament de Susqueda (Osor)","348,77","94,5","211,27"
"13/02/2026","Embassament de la Llosa del Cavall (Navès)","806,21","100,8","72,14"
"13/02/2026","Embassament de Riudecanyes","219,42","99,5","5,29"
"13/02/2026","Embassament de Siurana (Cornudella de Montsant)","475,01","47,7","5,73"
"13/02/2026","Embassament de Foix (Castellet i la Gornal)","99,40","80,6","2,71"
"13/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,27","95,8","23,38"
"12/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,25","95,6","23,35"
"12/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,95","47,5","5,70"
"12/02/2026","Embassament de la Baells (Cercs)","629,49","98,3","106,89"
"12/02/2026","Embassament de Susqueda (Osor)","348,73","94,4","211,08"
"12/02/2026","Embassament de Foix (Castellet i la Gornal)","99,36","79,9","2,69"
"12/02/2026","Embassament de Riudecanyes","219,41","99,5","5,29"
"12/02/2026","Embassament de la Llosa del Cavall (Navès)","806,10","100,4","71,83"
"12/02/2026","Embassament de Darnius Boadella (Darnius)","158,04","94,5","59,80"
"12/02/2026","Embassament de Sau (Vilanova de Sau)","421,63","88,5","146,72"
"11/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,25","95,6","23,35"
"11/02/2026","Embassament de Sau (Vilanova de Sau)","421,72","88,8","147,21"
"11/02/2026","Embassament de la Baells (Cercs)","629,85","99,5","108,18"
"11/02/2026","Embassament de Susqueda (Osor)","348,69","94,4","211,03"
"11/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,91","47,3","5,68"
"11/02/2026","Embassament de Darnius Boadella (Darnius)","158,04","94,5","59,82"
"11/02/2026","Embassament de Riudecanyes","219,42","99,5","5,30"
"11/02/2026","Embassament de Foix (Castellet i la Gornal)","99,38","80,1","2,70"
"11/02/2026","Embassament de la Llosa del Cavall (Navès)","805,91","99,7","71,32"
"10/02/2026","Embassament de Riudecanyes","219,47","99,8","5,31"
"10/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,27","95,8","23,38"
"10/02/2026","Embassament de la Baells (Cercs)","629,88","99,6","108,29"
"10/02/2026","Embassament de Foix (Castellet i la Gornal)","99,39","80,3","2,71"
"10/02/2026","Embassament de Darnius Boadella (Darnius)","158,06","94,6","59,89"
"10/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,87","47,2","5,67"
"10/02/2026","Embassament de Susqueda (Osor)","348,76","94,5","211,25"
"10/02/2026","Embassament de la Llosa del Cavall (Navès)","805,75","99,1","70,90"
"10/02/2026","Embassament de Sau (Vilanova de Sau)","421,72","88,8","147,21"
"09/02/2026","Embassament de Susqueda (Osor)","348,79","94,6","211,42"
"09/02/2026","Embassament de Darnius Boadella (Darnius)","158,07","94,7","59,93"
"09/02/2026","Embassament de Foix (Castellet i la Gornal)","99,40","80,5","2,71"
"09/02/2026","Embassament de Sau (Vilanova de Sau)","421,74","88,9","147,35"
"09/02/2026","Embassament de la Llosa del Cavall (Navès)","805,62","98,6","70,54"
"09/02/2026","Embassament de la Baells (Cercs)","629,78","99,3","107,91"
"09/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,83","47,0","5,65"
